Code,country,pop_2020,area_km2,density_perkm2
ABW,Aruba,106766,180,593.14
AFG,Afghanistan,38928346,652230,59.69
AGO,Angola,32866272,1246700,26.36
ALB,Albania,2877797,28748,100.10
AND,Andorra,77265,468,165.10
ARE,United Arab Emirates,9890402,83600,118.31
ARG,Argentina,45195774,2780400,16.26
AUS,Australia,25499884,7692024,3.32
AUT,Austria,9006398,83871,107.38
AZE,Azerbaijan,10139177,86600,117.08
BDI,Burundi,11890784,27834,427.20
BEL,Belgium,11589623,30528,379.64
BEN,Benin,12123200,112622,107.65
BFA,Burkina Faso,20903273,272967,76.58
BGD,Bangladesh,164689383,147570,1116.01
BGR,Bulgaria,6948445,110879,62.67
BHR,Bahrain,1701575,765,"2,224.28"
BHS,Bahamas,393244,13943,28.20
BIH,Bosnia and Herzegovina,3280819,51209,64.07
BLR,Belarus,9449323,207600,45.52
BLZ,Belize,397628,22966,17.31
BMU,Bermuda,62278,54,"1,153.30"
BOL,Bolivia,11673021,1098581,10.63
BRA,Brazil,212559417,8515767,24.96
BRB,Barbados,287375,430,668.31
BRN,Brunei,437479,5765,75.89
BTN,Bhutan,771608,38394,20.10
BWA,Botswana,2351627,582000,4.04
CAF,Central African Republic,4829767,622984,7.75
CAN,Canada,37742154,9984670,3.78
CHE,Switzerland,8654622,41284,209.64
CHL,Chile,19116201,756102,25.28
CHN,China,1439323776,9706961,148.28
CIV,Ivory Coast,26378274,322463,81.80
CMR,Cameroon,26545863,475442,55.83
COD,DR Congo,89561403,2344858,38.19
COG,Republic of the Congo,5518087,342000,16.13
COL,Colombia,50882891,1141748,44.57
COM,Comoros,869601,1862,467.03
CPV,Cape Verde,555987,4033,137.86
CRI,Costa Rica,5094118,51100,99.69
CUB,Cuba,11326616,109884,103.08
CYP,Cyprus,1207359,9251,130.51
CZE,Czech Republic,10708981,78865,135.79
DEU,Germany,83783942,357114,234.61
DJI,Djibouti,988000,23200,42.59
DMA,Dominica,71986,751,95.85
DNK,Denmark,5792202,43094,134.41
DOM,Dominican Republic,10847910,48671,222.88
DZA,Algeria,43851044,2381741,18.41
ECU,Ecuador,17643054,276841,63.73
EGY,Egypt,102334404,1002450,102.08
ERI,Eritrea,3546421,117600,30.16
ESP,Spain,46754778,505992,92.40
EST,Estonia,1326535,45227,29.33
ETH,Ethiopia,114963588,1104300,104.11
FIN,Finland,5540720,338424,16.37
FJI,Fiji,896445,18272,49.06
FRA,France,65273511,551695,118.31
FRO,Faroe Islands,48863,1393,35.08
GAB,Gabon,2225734,267668,8.32
GBR,United Kingdom,67886011,242900,279.48
GEO,Georgia,3989167,69700,57.23
GHA,Ghana,31072940,238533,130.27
GIN,Guinea,13132795,245857,53.42
GMB,Gambia,2416668,10689,226.09
GRC,Greece,10423054,131990,78.97
