,imf_region,CountryCode,economic_freedom,gni_per_capita,human_development,life_expectancy,average_years_school,political_regime
44,EmergingLatinAmerica,BHS,7.348118274,14179.101962704577,0.807,73.918,11.1,7.0588235294117645
45,EmergingLatinAmerica,BMU,6.562875216444444,14179.101962704577,0.764,82.59299999999998,9.274999999999999,7.0588235294117645
46,EmergingLatinAmerica,BOL,6.23460416,6714.02719063926,0.693,71.513,8.9,7.0
47,EmergingLatinAmerica,BRA,5.758552944,14179.101962704577,0.759,75.881,7.8,8.0
48,EmergingLatinAmerica,BRB,6.441310507000001,14179.101962704577,0.8,79.19,10.6,7.0588235294117645
49,EmergingLatinAmerica,CHL,7.780627687000001,21909.5009841161,0.843,80.181,10.3,10.0
50,EmergingLatinAmerica,COL,6.496046400000001,12937.879768306899,0.747,77.28699999999998,8.3,7.0
51,EmergingLatinAmerica,CRI,7.544079485,14636.3819185469,0.794,80.279,8.8,10.0
52,EmergingLatinAmerica,CUB,6.562875216444444,14179.101962704577,0.777,78.80199999999998,11.8,-7.0
53,EmergingLatinAmerica,DMA,6.562875216444444,14179.101962704577,0.715,75.0,7.8,7.0588235294117645
54,EmergingLatinAmerica,DOM,7.18506935,13920.9942627763,0.736,74.081,7.8,8.0
55,EmergingLatinAmerica,ECU,6.058442512,10346.619438055,0.752,77.01,8.7,5.0
56,EmergingLatinAmerica,JAM,7.198321709,14179.101962704577,0.732,74.475,9.8,9.0
57,EmergingLatinAmerica,MEX,6.895887517,16944.0954603494,0.774,75.054,8.6,8.0
58,EmergingLatinAmerica,PAN,7.566113507000001,14179.101962704577,0.789,78.506,10.2,9.0
59,EmergingLatinAmerica,PER,7.439497099,11789.348240594,0.75,76.736,9.2,9.0
60,EmergingLatinAmerica,PRI,6.562875216444444,14179.101962704577,0.764,80.104,9.274999999999999,7.0588235294117645
61,EmergingLatinAmerica,PRY,6.93248077,8380.1293351484,0.7020000000000001,74.25399999999998,8.4,9.0
62,EmergingLatinAmerica,SUR,6.381872508,14179.101962704577,0.72,71.682,8.5,5.0
63,EmergingLatinAmerica,URY,7.150333043,19930.4083439185,0.804,77.911,8.7,10.0
64,EmergingLatinAmerica,VEN,2.88085998,14179.101962704577,0.7609999999999999,72.064,10.3,4.0
65,EmergingMiddleEast,ARE,7.485404568,67804.5585055146,0.863,77.972,10.8,-8.0
66,EmergingMiddleEast,BHR,7.547998735,25644.691907455493,0.846,77.292,9.4,-10.0
67,EmergingMiddleEast,DZA,4.985321051000001,25644.691907455493,0.754,76.88,8.0,2.0
68,EmergingMiddleEast,EGY,5.712223766,10354.801806646801,0.696,71.99,7.2,-4.0
69,EmergingMiddleEast,IRN,6.020622191,25644.691907455493,0.7979999999999999,76.67699999999998,9.8,-7.0
70,EmergingMiddleEast,IRQ,5.407654263,25644.691907455493,0.685,70.604,6.8,6.0
71,EmergingMiddleEast,KWT,6.762842638,25644.691907455493,0.8029999999999999,75.48899999999998,7.3,-7.0
72,EmergingMiddleEast,LBN,7.016255900000001,13377.7298369427,0.757,78.93,8.7,6.0
73,EmergingMiddleEast,LBY,4.7730947630000005,25644.691907455493,0.706,72.913,7.3,0.0
74,EmergingMiddleEast,MAR,6.339798901,7339.621318609659,0.667,76.68,5.5,-4.0
75,EmergingMiddleEast,OMN,6.749671402000001,25644.691907455493,0.821,77.861,9.5,-8.0
76,EmergingMiddleEast,PAK,5.993016925,5311.2192894691,0.562,67.273,5.2,7.0
77,EmergingMiddleEast,QAT,7.467956557999999,25644.691907455493,0.856,80.227,9.8,-10.0
78,EmergingMiddleEast,SAU,6.516357351,49680.2206875501,0.853,75.133,9.5,-10.0
79,Euro,AND,7.5672253271250005,31567.688097283706,0.858,83.73200000000001,10.2,9.583333333333334
80,Euro,AUT,7.564971367999999,31567.688097283706,0.908,81.544,12.1,10.0
81,Euro,BEL,7.324201584,31567.688097283706,0.916,81.628,11.8,8.0
82,Euro,CHE,8.387414206,31567.688097283706,0.944,83.779,13.4,10.0
83,Euro,CYP,7.708212245,31567.688097283706,0.8690000000000001,80.982,12.1,10.0
84,Euro,DEU,7.679705306000002,31567.688097283706,0.936,81.32600000000002,14.1,10.0
85,Euro,DNK,7.766156184,31567.688097283706,0.929,80.898,12.6,10.0
86,Euro,ESP,7.551851757,31567.688097283706,0.8909999999999999,83.565,9.8,10.0
87,Euro,EST,7.837735993,31567.688097283706,0.871,78.745,12.7,9.0
88,Euro,FIN,7.620819275,31567.688097283706,0.92,81.908,12.4,10.0
89,Euro,FRA,7.23569039,31567.688097283706,0.901,82.65899999999998,11.5,9.0
90,Euro,GBR,8.007157126000001,31567.688097283706,0.922,81.321,12.9,10.0
91,Euro,GRC,6.492319707,31567.688097283706,0.87,82.23899999999998,10.8,10.0
92,Euro,GRL,7.5672253271250005,31567.688097283706,0.8992,71.704,12.043999999999999,9.583333333333334
93,Euro,IRL,8.067158288,31567.688097283706,0.938,82.305,12.5,10.0
94,Euro,ISR,7.4693755689999985,31567.688097283706,0.903,82.97200000000002,13.0,6.0
95,Euro,ITA,7.272612388,31567.688097283706,0.88,83.512,10.2,10.0
96,Euro,LTU,7.849591595,31567.688097283706,0.858,75.933,13.0,10.0
97,Euro,LUX,7.586641726,31567.688097283706,0.904,82.25,12.1,10.0
98,Euro,LVA,7.642272018,31567.688097283706,0.847,75.292,12.8,8.0
99,Euro,MCO,7.5672253271250005,31567.688097283706,0.8992,86.751,12.043999999999999,9.583333333333334
100,Euro,NLD,7.697608946,31567.688097283706,0.931,82.28299999999999,12.2,10.0
101,Euro,NOR,7.57088482,31567.688097283706,0.953,82.404,12.6,10.0
